"filename", "language", "JavaScript", "TypeScript React", "Markdown", "JSON", "Properties", "Objective-C", "C++", "Groovy", "YAML", "Batch", "XML", "Java", "comment", "blank", "total"
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/debug/java/com/distancenb/ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 8, 6, 73
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/main/java/com/distancenb/MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 4, 16
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/main/java/com/distancenb/MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 14, 10, 90
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/main/java/com/distancenb/RNContactTracingAndroid.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 12, 46
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/main/java/com/distancenb/RNContactTracingAndroidManager.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 1, 9, 31
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 3, 10
"/Users/marcdertiger/Projects/DistanceNB/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 5, 39
"/Users/marcdertiger/Projects/DistanceNB/android/gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 19, 7, 29
